siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise
385365713,INETUM,62.02A,GE
387672421,ALLIANCE REGIONALE EST APPRO,46.75Z,ETI
387940778,TRANSITYRE FRANCE SA,45.31Z,GE
387949530,SYSTRA,71.12B,ETI
388021156,SAIPOL,10.41A,GE
388202533,CAISSE CENTRALE DE REASSURANCE,65.20Z,ETI
388255861,NHINDUSTRIES,46.14Z,GE
388380073,CITEO,82.99Z,ETI
398586909,TSF JAZZ,60.10Z,PME
398979310,H&M HENNES & MAURITZ,47.71Z,ETI
399036649,MANE INVESTISSEMENTS,70.10Z,ETI
399227990,ALDI,70.10Z,GE
399295385,VIATRIS SANTE,46.46Z,GE
399315613,METRO FRANCE,46.39B,GE
399361468,GAZELENERGIE GENERATION,35.14Z,GE
399395581,STMICROELECTRONICS (CROLLES 2) SAS,26.11Z,GE
399402965,OREFI ORIENTALE ET FINANCIERE,70.10Z,ETI
410001952,VINCI CONCESSIONS,70.10Z,GE
410034607,SUEZ EAU FRANCE,36.00Z,GE
410061014,SHV GAS SUPPLY & RISK MANAGEMENT,46.71Z,ETI
410206437,AMPERE ELECTRICITY,29.10Z,GE
410336069,ANTALIS,70.10Z,ETI
410349070,NOVARTIS PHARMA SAS,46.46Z,GE
410408959,AUCHAN RETAIL INTERNATIONAL,70.10Z,GE
410409015,AUCHAN SUPERMARCHE,47.11D,GE
410409460,AUCHAN HYPERMARCHE,47.11F,GE
424059822,CDISCOUNT,47.91A,GE
424623759,SIDEL BLOWING & SERVICES,28.96Z,GE
424982650,SCC FRANCE,46.51Z,ETI
425049756,GROUPE SPAG,41.10A,PME
433999356,RANDSTAD,78.20Z,GE
434209797,DELOITTE,69.20Z,GE
434211843,CONTANGO TRADING SA,64.30Z,GE
434212130,CARREFOUR IMPORT,46.41Z,GE
434317293,VENTE PRIVEE.COM,47.91A,ETI
434544045,KADRIS CONSULTANTS,70.22Z,ETI
434691192,MILLIPORE,28.29B,GE
449430537,EHDH,64.20Z,ETI
482930385,AXXES,52.21Z,ETI
483209383,APPLE RETAIL FRANCE EURL,47.41Z,ETI
483339156,ALTERNA ENERGIE,35.14Z,GE
483385142,GETLINK S.E.,70.10Z,ETI
483790069,BPIFRANCE,84.13Z,PME
483993226,SALESFORCE.COM FRANCE,63.11Z,ETI
499208932,ROTHSCHILD & CO CONCORDIA,64.20Z,ETI
499247138,FREE MOBILE,61.20Z,GE
512261306,BY MY CAR GROUP,64.20Z,GE
531680445,TOTALENERGIES MARKETING FRANCE,46.71Z,GE
532005352,DAMA,64.20Z,PME
532712825,SPIE SA,64.20Z,GE
662006170,PIERRE FABRE SA,70.10Z,GE
662025196,ELIOR RESTAURATION FRANCE,56.29B,GE
662042449,BNP PARIBAS,64.19Z,GE
665580072,BONDUELLE EUROPE LONG LIFE,10.39A,ETI
672039971,DANONE PRODUITS FRAIS FRANCE,10.51A,GE
673620399,BIOMERIEUX SA,20.59Z,GE
678200890,GROUPE DRODE ET COMPAGNIE,68.20B,PME
682024096,UNIBAIL-RODAMCO-WESTFIELD SE,41.10C,ETI
682031885,TOTAL E ET P INDONESIE,06.10Z,GE
692014962,SA DE LA RAFFINERIE DES ANTILLES,19.20Z,GE
692030992,EURAZEO,70.10Z,ETI
695480244,CNH INDUSTRIAL FRANCE,46.61Z,ETI
696520410,HERMES SELLIER,15.12Z,GE
698800935,ALSTOM CRESPIN SAS,30.20Z,GE
699809174,NISSAN WEST EUROPE,45.11Z,GE
700200983,ROYAL CANIN SAS,10.92Z,GE
702012956,ALTRAN TECHNOLOGIES,62.02A,GE
702022724,KAUFMAN & BROAD SA,64.20Z,GE
702023508,FONCIERE EURIS,64.20Z,GE
702027376,EGIS,70.10Z,GE
702042755,CGI FRANCE,62.02A,GE
702052333,AMPERE CLEON,29.10Z,GE
706580149,BAYER HEALTHCARE SAS,46.46Z,GE
706980182,SOUFFLET AGRICULTURE,46.21Z,GE
709802094,EIFFAGE,70.10Z,GE
712019538,SAFRAN LANDING SYSTEMS,30.30Z,GE
712034040,TOYOTA FRANCE,45.11Z,GE
712039163,FINATIS,64.30Z,GE
712042456,DASSAULT AVIATION,30.30Z,GE
712049618,ESSILORLUXOTTICA,32.50B,GE
713002269,SANOFI-AVENTIS RECHERCHE ET DEVELOPPEMENT,72.19Z,GE
798361200,SOCIETE CONGOLAISE DE TRANSPORTS MARITIMES - SOCOTRAM SA,70.10Z,PME
798620696,SELESFI SAS,70.10Z,ETI
810931766,EXCLUSIVE FRANCE HOLDING,64.20Z,ETI
820842623,IDEX GROUP,64.20Z,GE
820978559,SAGEMCOM BROADBAND SAS,26.30Z,GE
831178785,EXPLEO GROUP,64.20Z,GE
841619307,DAIMLER TRUCK FRANCE S.A.S.U.,45.19Z,ETI
841983828,UBER EATS FRANCE SAS,63.12Z,ETI
842442972,J.P. MORGAN SE,64.19Z,GE
852749324,LCC FRANCE,82.99Z,PME
852790229,GOLDMAN SACHS BANK EUROPE SE,66.19B,ETI
888238219,COLISEE CARE,64.20Z,GE
888238250,COLISEE GROUP,64.20Z,GE
892154758,MEDILAB,46.46Z,PME
892165994,GROUPE SNEF,43.21A,GE
892417783,ALTASTORY,64.20Z,ETI
892419250,GOLDSTORY,64.20Z,ETI
904723715,COSMOBILIS GROUP,70.10Z,GE
914694179,SEVEANE,86.23Z,PME
915180178,FEVORY HOLDING,64.20Z,PME
300349636,SEB SA,64.20Z,GE
300960622,SNETOR,46.69B,ETI
301075594,PARTICIPATION CINEMATOGRAPHIQUE CINE PAR,64.30Z,ETI
301292702,TELEPERFORMANCE SE,73.11Z,GE
301940219,SODEXO,56.29B,GE
301986154,SOCIETE COOPERATIVE D'APPROVISIONNEMENT PARIS-EST,46.17A,ETI
302079462,NESTLE PURINA PETCARE FRANCE,10.92Z,GE
302178892,REMY COINTREAU,82.99Z,GE
302181722,CAM NEGOCE,46.21Z,ETI
307166934,SCANIA FRANCE,45.19Z,GE
307570747,JCDECAUX SE,70.10Z,ETI
307582866,PATHE,70.10Z,ETI
308197185,IPSEN PHARMA,46.46Z,GE
308382035,ETAM DEVELOPPEMENT,64.20Z,ETI
309214641,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'ILE DE FRANCE,46.17A,ETI
309304616,REXEL FRANCE,46.69A,GE
322306440,DASSAULT SYSTEMES,58.29C,GE
322593203,UFP INTERNATIONAL,46.52Z,ETI
334367497,SAMSUNG ELECTRONICS FRANCE,46.52Z,ETI
334382298,SCAPALSACE,46.17A,ETI
334473352,RELAIS FNAC,47.41Z,GE
334851664,VINCI CONSTRUCTION,64.20Z,
335092318,ORACLE FRANCE,62.02A,ETI
335186094,UBISOFT ENTERTAINMENT,58.21Z,GE
335480265,HAVAS,77.40Z,GE
335480877,ALTAREA,68.20B,GE
348847062,EURIS,64.30Z,GE
348867755,GLOBAL BLUE FRANCE,82.99Z,GE
348940263,SOPRA-GMT,70.10Z,PME
348991555,ZARA FRANCE,47.71Z,GE
349032946,ROCHER PARTICIPATIONS,64.20Z,GE
349039958,BERNARD PARTICIPATIONS,70.10Z,ETI
349505370,SANOFI R&D VACCINS,21.20Z,GE
349577908,COMPAGNIE DES ALPES,70.10Z,GE
349942458,GE ENERGY PRODUCTS FRANCE SNC,28.11Z,GE
350012522,ARIANESPACE PARTICIPATION,64.20Z,GE
378901946,WORLDLINE,63.11Z,ETI
379041395,FRAMATOME,25.30Z,GE
379548001,AUCHAN CARBURANT,47.30Z,GE
379677636,EDF POWER SOLUTIONS,70.10Z,GE
379690167,WENDEL-PARTICIPATIONS SE,64.20Z,GE
379706344,KNDS FRANCE,30.40Z,ETI
379821994,SAP FRANCE,62.02B,ETI
391360971,GILEAD SCIENCES,46.46Z,ETI
391543576,PROCTER & GAMBLE FRANCE,46.18Z,GE
391637865,TECHNIP ENERGIES FRANCE,71.12B,GE
391804945,GROUPE PHILIPPE GINESTET,70.10Z,GE
392077517,AERO NEGOCE INTERNATIONAL,46.69B,PME
401251566,EMEIS,87.10A,GE
401547138,SAFRANS,64.30Z,ETI
401913025,ST FINANCES,64.20Z,GE
402103907,QUADIENT S.A.,70.10Z,ETI
410925473,HOLDING AND FINANCIAL PARTICIPATION,66.30Z,ETI
410970503,SCAMARK,10.89Z,GE
411096290,SNETOR OVERSEAS,46.76Z,ETI
411328644,VHF,64.20Z,PME
411394893,HYUNDAI MOTOR FRANCE,45.11Z,ETI
411890882,VALAMKA (GROUPE),70.22Z,PME
412076937,ASSYSTEM,70.10Z,ETI
422551176,EUTELSAT S.A.,61.30Z,ETI
422882894,FLANDRES LAITIERS MOULUS,08.12Z,GE
422950865,AKKA TECHNOLOGIES,66.30Z,GE
435391354,BUNGE FRANCE,46.21Z,ETI
437574452,AMUNDI ASSET MANAGEMENT,66.30Z,GE
437576531,PEUGEOT CITROEN PIECES DE RECHANGE,45.31Z,GE
437580160,CACEIS,64.30Z,GE
450776968,LOXAM,77.32Z,ETI
450889225,SOREGIES,35.14Z,GE
451063739,HUAWEI TECHNOLOGIES FRANCE,46.52Z,ETI
451225692,ENI PLENITUDE FRANCE,35.14Z,GE
451321335,CARREFOUR HYPERMARCHES,47.11F,GE
451321376,CARREFOUR STATIONS SERVICE,47.30Z,GE
451329908,CRIT,78.20Z,GE
484189352,HOLDING EONNET,64.20Z,ETI
484290820,M-ENERGY,70.10Z,ETI
484786249,CRITEO,62.02A,ETI
484834981,OMS SYNERGIE GROUP,70.22Z,ETI
484838800,GEDIA,35.22Z,ETI
484918123,ABERTIS FRANCE,64.20Z,GE
484964036,ARAMIS GROUP,70.22Z,GE
499668440,ELIS,64.20Z,GE
499936391,CAR-GARANTIE GMBH,45.11Z,PME
500569405,DECATHLON FRANCE,47.64Z,GE
500689344,ALLAERT,43.32B,PME
513907261,BUNSHA INTERNATIONAL,66.30Z,GE
525580130,COOP ATLANTIQUE,47.11D,ETI
527573141,APAVE,71.20B,GE
528593866,PROSOL,46.31Z,GE
528648892,CHAUSSON MATERIAUX,46.73A,ETI
546950379,CHARAL,10.13A,GE
548500669,FINANCIERE ALSACIENNE DE TRANSPORT,70.10Z,ETI
552002313,BANQUE POPULAIRE RIVES DE PARIS,64.19Z,GE
552002578,UNIBEL,64.20Z,GE
552006454,TOTALENERGIES LUBRIFIANTS,19.20Z,GE
552008443,SOCIETE BIC,46.49Z,ETI
552012031,ROCHE,46.46Z,ETI
552016628,AEROPORTS DE PARIS,52.23Z,GE
552025314,COLAS SA,42.11Z,GE
552027211,TRANSPORTES AEREOS PORTUGUESES,51.10Z,PME
552030967,VALEO,64.20Z,GE
552032534,DANONE,70.10Z,GE
552037806,VINCI,70.10Z,GE
552040594,EULER HERMES GROUP,66.30Z,GE
552043002,AIR FRANCE - KLM,70.10Z,GE
552044992,POMONA,46.39B,GE
552045999,BOUYGUES CONSTRUCTION,42.13A,GE
552046484,CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,68.20A,GE
552046955,ENGIE ENERGIE SERVICES,35.30Z,GE
552049447,SOCIETE NATIONALE SNCF,49.10Z,GE
552059024,THALES,70.10Z,GE
552065187,PARFUMS CHRISTIAN DIOR,20.42Z,GE
552073785,COMPAGNIE DU CAMBODGE,64.20Z,GE
552075020,KERING,70.10Z,GE
552081317,ELECTRICITE DE FRANCE,35.11Z,GE
552087835,BODEMER,64.20Z,ETI
552088536,CEVA AIR & OCEAN INTERNATIONAL,52.29B,GE
552091050,ALTAREIT,41.10A,GE
552091795,BRED BANQUE POPULAIRE,64.19Z,GE
552096281,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,78.30Z,GE
552100554,PEUGEOT SA,70.10Z,
552111809,KEOLIS SA,70.10Z,GE
552115891,COFIROUTE,52.21Z,GE
552118465,COMPAGNIE IBM FRANCE,58.29C,GE
552119216,UNILEVER FRANCE,46.90Z,GE
552120222,SOCIETE GENERALE,64.19Z,GE
552141533,IMMOBILIERE 3F,68.20A,GE
552142200,VALLOUREC,70.10Z,ETI
552144503,AUTOMOBILES PEUGEOT,45.11Z,GE
552146854,VERSALIS FRANCE S.A.S.,20.14Z,GE
554500199,TOTALENERGIES PROXI SUD EST,46.71Z,GE
554501171,"CASINO, GUICHARD-PERRACHON",64.20Z,GE
557350253,B.S.A,70.10Z,GE
558500187,HOLDING SOPREMA,70.10Z,GE
558501912,ELECTRICITE DE STRASBOURG,70.10Z,GE
562008151,IMERYS,09.90Z,ETI
562011742,BRISTOL MYERS SQUIBB,46.46Z,ETI
562016774,SIEMENS S.A.S,26.30Z,GE
562024422,CMA CGM,50.20Z,GE
562033068,JANSSEN CILAG,46.46Z,GE
562033175,ATELIERS VCA,32.12Z,GE
562033357,SCOR SE,65.20Z,GE
562038745,MONNOYEUR,70.10Z,GE
562038893,BAYER SAS,20.20Z,GE
562046151,SOVEN,46.71Z,GE
562050401,URBAINE DES PETROLES,46.71Z,GE
562053173,ATLANTIC SOC FRANCAISE DEVELOP THERMIQUE,46.43Z,GE
562082909,SAFRAN,70.10Z,GE
562091546,BOUYGUES IMMOBILIER,41.10A,GE
562094425,ARCELORMITTAL FRANCE,24.10Z,GE
562134544,SOLETANCHE FREYSSINET,70.10Z,GE
562136036,RAZEL-BEC,42.99Z,GE
568504161,SCHAEFFLER FRANCE,29.32Z,ETI
570501551,ASTERA,64.20Z,GE
572015246,BOUYGUES,70.10Z,GE
572025526,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX,36.00Z,GE
572034361,CELINE,46.49Z,GE
572060333,MERSEN,70.10Z,ETI
572062594,GALERIES LAFAYETTE HAUSSMANN - GL HAUSSMANN,47.71Z,GE
572067684,ROBERT BOSCH FRANCE,29.32Z,GE
572076396,HERMES INTERNATIONAL,70.10Z,GE
572093920,AXA,64.30Z,GE
572099695,CARGILL FRANCE,10.41A,GE
572119550,SUCRES ET DENREES,46.36Z,GE
572126043,ANTARGAZ,46.71Z,GE
572139996,AUTOROUTES DU SUD DE LA FRANCE,52.21Z,GE
572141885,DISTRIBUTION SANITAIRE CHAUFFAGE,46.74B,GE
572174035,WENDEL,70.22Z,GE
572185684,CLUB MED,55.20Z,GE
576850697,SOCIETE L.D.C.,70.10Z,GE
582041943,PERNOD RICARD,70.10Z,GE
582074944,ICADE,68.20B,GE
582110987,CHRISTIAN DIOR,64.20Z,GE
582137436,PHOENIX OCP,46.46Z,GE
588505354,CAISSE FEDERALE DE CREDIT MUTUEL SOCIETE A MISSION (APPLICATION LOI PACTE),64.19Z,GE
592045777,MOTIER,70.10Z,GE
596720201,PISSIER,46.21Z,PME
596950139,SOC CENTRALE APPROVISION SUD OUEST,46.17A,ETI
599815073,AXENS,20.59Z,ETI
775577018,CREDIT MUTUEL ARKEA,64.19Z,GE
775583248,MAISON JOHANES BOUBEE,46.34Z,GE
775614308,KRONENBOURG,46.34Z,ETI
775625767,FINANCIERE AGACHE,64.20Z,GE
775633357,LIMAGRAIN,01.11Z,
775656143,LECUREUR,46.21Z,ETI
775661390,FNAC DARTY PARTICIPATIONS ET SERVICES,46.19A,GE
775662257,SANOFI WINTHROP INDUSTRIE,21.20Z,GE
775664873,BOUYGUES ENERGIES & SERVICES,43.21B,GE
775668122,BALENCIAGA,46.42Z,GE
775670284,HSBC CONTINENTAL EUROPE,64.19Z,GE
775670417,LVMH MOET HENNESSY LOUIS VUITTON,70.10Z,GE
775675291,GROUPE SERVICES FRANCE,82.99Z,GE
775690191,UNION INVIVO,46.75Z,GE
775690621,BUREAU VERITAS,71.20B,GE
775701097,SOCIETE COOPERATIVE AGRICOLE NATUP,46.21Z,ETI
775714991,CAVAC,46.21Z,ETI
775715592,OCEALIA,46.21Z,ETI
775726417,KPMG,69.20Z,GE
775729155,IFP ENERGIES NOUVELLES,72.19Z,ETI
775784689,SOCIETE COOPERATIVE AGRICOLE ARTERRIS,46.21Z,ETI
776221467,GROUPE BIGARD,10.11Z,GE
777347386,PICOTY,46.71Z,ETI
789169323,LES MOUSQUETAIRES,64.20Z,GE
789791464,CEVA LOGISTICS GROUND & RAIL FRANCE,52.29B,GE
789991221,SOCO 1,70.22Z,GE
801795618,FINANCIERE MENDEL,64.20Z,ETI
802525048,CASAVITA,70.10Z,
813979523,VIVALTO SANTE INVESTISSEMENT,64.20Z,GE
835150434,CANAL+,59.11A,GE
850176967,ARTELIA GLOBAL,64.20Z,ETI
850479718,ABN AMRO BANK NV,64.19Z,ETI
884245408,MOBILUX CONFO,64.20Z,GE
954503439,SCHNEIDER ELECTRIC INDUSTRIES SAS,46.69A,GE
954506077,RENAULT TRUCKS,29.10Z,GE
954509741,CREDIT LYONNAIS,64.19Z,GE
955200928,ALTAIR,70.10Z,ETI
955500293,VALEO EQUIPEMENTS ELECTRIQUES MOTEUR,29.31Z,GE
955501036,DESCOURS ET CABAUD SA,77.40Z,GE
955512611,OPMOBILITY SE,70.10Z,ETI
957503931,MAGASINS GALERIES LAFAYETTE,47.71Z,GE
957520901,COMPAGNIE NATIONALE DU RHONE,35.11Z,GE
962227351,AUTODISTRIBUTION,45.31Z,GE
964201123,INTERSPORT FRANCE,46.19A,ETI
964201149,GROUPE INTERSPORT,46.19A,
967505967,JTEKT EUROPE,29.32Z,ETI
969202241,VIRIDIEN,70.10Z,ETI
969510940,ALUMINIUM PECHINEY,71.12B,
63802938,PANDROL RAILWELD,42.12Z,ETI
85480796,LES LABORATOIRES SERVIER,21.20Z,GE
86120045,SOCIETE PRODUITS PETROLIERS STELA,46.71Z,
86280393,JOHN DEERE SAS,28.11Z,ETI
86380730,SOGECAP,65.11Z,GE
95550356,EXEL INDUSTRIES,70.10Z,ETI
95720314,HEXAOM,41.10A,ETI
309645539,GXO LOGISTICS EUROPE,70.10Z,GE
310173968,SOCIETE ANONYME COOPERATIVE GIPHAR,46.46Z,ETI
310879499,BOURBON CORPORATION,64.20Z,ETI
311361489,JACQUET METALS,70.10Z,ETI
311473383,TF1 PUBLICITE,73.12Z,GE
324958198,TOTALENERGIES PROXI SUD OUEST,46.71Z,GE
325307106,COFIDIS,64.92Z,GE
325366334,DISTRIDYN,46.12A,ETI
325520450,ENTREMONT ALLIANCE,10.51C,GE
325720720,STAUBLI FAVERGES,28.99B,ETI
325952182,SOCIETE D'INVESTISSEMENT TOURISTIQUE ET IMMOBILIER - S.I.T.I.,64.20Z,PME
326118502,PIERRE FABRE MEDICAMENT,46.46Z,GE
338228414,MOET HENNESSY,70.10Z,GE
338481955,SAFRAN HELICOPTER ENGINES,30.30Z,GE
351005582,SOCIETE EUROPEENNE DE VEHICULES LEGERS DU NORD - SEVEL NORD,29.10Z,GE
351216759,TECHWOOD,29.20Z,GE
379914237,NORTH ATLANTIC RAFFINAGE,19.20Z,GE
380110304,CONTINENTAL FRANCE,22.11Z,GE
380129866,ORANGE,61.10Z,GE
380404764,COOPERATIEVE RABOBANK U.A.,64.19Z,ETI
380475293,BYMYCAR AUTOMOTIVE,64.20Z,GE
380844175,UBIPHARM,64.20Z,ETI
390072551,CIRCET,61.10Z,ETI
390742765,SOCIETE FINANCIERE DU STEIR,66.30Z,GE
402423420,WMH PROJECT,73.11Z,ETI
402737936,LACTALIS INGREDIENTS,46.33Z,GE
402757751,LACTALIS FROMAGES,46.33Z,GE
403210032,VEOLIA ENVIRONNEMENT,82.99Z,GE
403335904,SANOFI-AVENTIS FRANCE,46.46Z,GE
403335938,SANOFI-AVENTIS GROUPE,70.10Z,GE
414969584,STMICROELECTRONICS ROUSSET SAS,26.11Z,GE
414986216,VEOLIA WATER TECH,64.20Z,GE
415550284,V. MANE FILS,20.53Z,ETI
417350311,VIRBAC,21.20Z,ETI
417689395,AYVENS,70.10Z,GE
417890589,MSD FRANCE,46.46Z,GE
428593230,NEXANS FRANCE,27.32Z,GE
428611719,SOCIETE COOPERATIVE AGRICOLE ET AGRO-ALIMENTAIRE AGRIAL,46.90Z,GE
428616734,GRENKE LOCATION,77.33Z,ETI
428706204,SANOFI CHIMIE,21.10Z,GE
428760847,UNICREDIT,64.19Z,PME
428764500,AREVA NP,70.10Z,
428766976,SOLVAY ENERGY SERVICES,35.23Z,ETI
428785042,AMAZON FRANCE LOGISTIQUE SAS,52.10B,GE
428891113,TOTALENERGIES PETROCHEMICALS FRANCE,20.14Z,GE
429660863,CAUFFRIDIS EXPANSION,64.20Z,PME
429707292,TERRENA,46.90Z,GE
442904629,BPM GROUP,70.10Z,ETI
442969705,AVANTIS ENGINEERING,71.12B,PME
443061841,GOOGLE FRANCE,62.02A,ETI
443089990,NISSAN AUTOMOTIVE EUROPE,45.11Z,GE
443716832,SYNGENTA FRANCE SA,72.11Z,ETI
452847130,BONNEUIL EXPANSION,64.20Z,ETI
453427940,LE GRAND REY,66.19A,ETI
453952681,NATIXIS INVESTMENT MANAGERS,70.10Z,GE
456500537,DALKIA,35.30Z,GE
456504851,CREDIT DU NORD,64.19Z,GE
457503837,TOTALENERGIES PROXI NORD EST,46.71Z,GE
487080194,BENETEAU,70.10Z,ETI
487760761,GHELLA S.P.A.,42.13A,PME
488077165,PARTS HOLDING EUROPE,64.30Z,GE
502941479,GAZ DE BORDEAUX,35.23Z,ETI
503126161,FIDEIP,70.22Z,
514080837,ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL,49.41B,GE
529220121,PROMOTHERMIS,64.20Z,ETI
529221749,TOTALENERGIES RAFFINAGE FRANCE,19.20Z,GE
